id,time,direction,grade,composite,entry,sl,tp1,rr1,outcome,r_result,closed_at,note
SH-SELL:20260902T1000:4308.34,2026-09-02T10:16:27.824620+00:00,SELL,B,2,4306.44,4309.75,4299.82,2.0,LOSS,-1.0,2026-09-02T10:20:00+00:00,
SH-BUY:20260903T0045:4390.90,2026-09-03T01:01:37.699279+00:00,BUY,A,3,4394.72,4391.92,4400.33,2.0,LOSS,-1.0,2026-09-03T01:05:00+00:00,
SH-BUY:20260903T0100:4394.72,2026-09-03T01:16:19.367331+00:00,BUY,B,2,4402.66,4398.9,4410.17,2.0,LOSS,-1.0,2026-09-03T01:20:00+00:00,
SH-BUY:20260903T0145:4402.66,2026-09-03T02:01:33.598361+00:00,BUY,B,2,4411.32,4406.98,4420.0,2.0,WIN,2.0,2026-09-03T02:55:00+00:00,
SH-BUY:20260903T0200:4411.32,2026-09-03T02:16:26.238479+00:00,BUY,B,2,4412.31,4408.16,4420.62,2.0,LOSS,-1.0,2026-09-03T02:20:00+00:00,
SH-BUY:20260903T0230:4412.31,2026-09-03T02:46:40.672949+00:00,BUY,B,2,4414.96,4410.98,4422.91,2.0,WIN,2.0,2026-09-03T03:00:00+00:00,
SH-BUY:20260903T0245:4414.96,2026-09-03T03:01:29.978834+00:00,BUY,B,2,4419.42,4415.61,4427.03,2.0,WIN,2.0,2026-09-03T03:10:00+00:00,
SH-BUY:20260903T0300:4419.42,2026-09-03T03:16:25.141364+00:00,BUY,B,2,4429.74,4425.92,4437.37,2.0,LOSS,-1.0,2026-09-03T03:20:00+00:00,
SH-BUY:20260903T0900:4438.13,2026-09-03T09:16:21.949797+00:00,BUY,B,2,4439.24,4435.6,4446.52,2.0,LOSS,-1.0,2026-09-03T09:20:00+00:00,
SH-BUY:20260903T1145:4438.49,2026-09-03T12:01:24.971143+00:00,BUY,B,2,4443.97,4440.47,4450.95,2.0,LOSS,-1.0,2026-09-03T12:20:00+00:00,
SH-BUY:20260903T1145:4439.24,2026-09-03T12:06:23.687292+00:00,BUY,B,2,4447.42,4444.04,4454.18,2.0,LOSS,-1.0,2026-09-03T12:10:00+00:00,
SH-BUY:20260903T1215:4444.54,2026-09-03T12:31:33.224042+00:00,BUY,B,2,4447.35,4443.46,4455.13,2.0,WIN,2.0,2026-09-03T12:35:00+00:00,
SH-BUY:20260903T1230:4447.35,2026-09-03T12:46:24.550457+00:00,BUY,B,2,4466.23,4460.23,4478.25,2.0,WIN,2.0,2026-09-03T12:50:00+00:00,
SH-BUY:20260903T1245:4466.23,2026-09-03T13:01:47.581575+00:00,BUY,B,2,4493.9,4487.33,4507.06,2.0,LOSS,-1.0,2026-09-03T13:05:00+00:00,
SH-BUY:20260903T1500:4493.90,2026-09-03T15:16:23.763136+00:00,BUY,B,2,4499.06,4492.79,4511.6,2.0,LOSS,-1.0,2026-09-03T15:45:00+00:00,
SH-BUY:20260903T1515:4499.06,2026-09-03T15:31:39.552959+00:00,BUY,B,2,4505.32,4499.24,4517.49,2.0,LOSS,-1.0,2026-09-03T15:35:00+00:00,
SH-BUY:20260903T2345:4477.95,2026-09-04T00:06:25.661617+00:00,BUY,B,2,4478.76,4476.76,4482.74,2.0,WIN,2.0,2026-09-04T00:10:00+00:00,
SH-BUY:20260904T0000:4479.88,2026-09-04T00:16:24.036371+00:00,BUY,B,2,4482.35,4480.2,4486.64,2.0,LOSS,-1.0,2026-09-04T00:20:00+00:00,
SH-BUY:20260904T0045:4482.35,2026-09-04T01:01:29.884959+00:00,BUY,B,2,4486.59,4483.44,4492.88,2.0,LOSS,-1.0,2026-09-04T01:05:00+00:00,
SH-BUY:20260904T0730:4476.71,2026-09-04T07:46:09.117782+00:00,BUY,B,2,4484.47,4480.99,4491.44,2.0,LOSS,-1.0,2026-09-04T08:05:00+00:00,
